# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.4648,-8.1775,1.1685,1.1685
-0.4577,-8.1775,1.1675,1.1675
-0.4506,-8.1775,1.1665,1.1665
-0.4435,-8.1775,1.1656,1.1656
-0.4364,-8.1775,1.1647,1.1647
-0.4293,-8.1704,1.1568,1.1568
-0.4222,-8.1704,1.1560,1.1560
-0.4151,-8.1704,1.1552,1.1552
-0.4080,-8.1704,1.1545,1.1545
-0.4009,-8.1704,1.1534,1.1534
-0.3938,-8.1704,1.1525,1.1525
-0.3867,-8.1704,1.1515,1.1515
-0.3796,-8.1704,1.1506,1.1506
-0.3726,-8.1704,1.1498,1.1498
-0.3655,-8.1704,1.1490,1.1490
-0.3584,-8.1633,1.1411,1.1411
-0.3513,-8.1633,1.1404,1.1404
-0.3442,-8.1633,1.1397,1.1397
-0.3371,-8.1633,1.1391,1.1391
-0.3300,-8.1633,1.1384,1.1384
-0.3229,-8.1633,1.1375,1.1375
-0.3158,-8.1633,1.1365,1.1365
-0.3087,-8.1633,1.1357,1.1357
-0.3016,-8.1562,1.1278,1.1278
-0.2945,-8.1562,1.1270,1.1270
-0.2874,-8.1562,1.1263,1.1263
-0.2804,-8.1562,1.1256,1.1256
-0.2733,-8.1562,1.1250,1.1250
-0.2662,-8.1562,1.1244,1.1244
-0.2591,-8.1491,1.1167,1.1167
-0.2520,-8.1491,1.1162,1.1162
-0.2449,-8.1491,1.1157,1.1157
-0.2378,-8.1491,1.1153,1.1153
-0.2307,-8.1491,1.1149,1.1149
-0.2236,-8.1491,1.1146,1.1146
-0.2165,-8.1491,1.1143,1.1143
-0.2094,-8.1420,1.1070,1.1070
-0.2023,-8.1420,1.1067,1.1067
-0.1952,-8.1420,1.1066,1.1066
-0.1882,-8.1420,1.1065,1.1065
-0.1811,-8.1420,1.1059,1.1059
-0.1740,-8.1420,1.1051,1.1051
-0.1669,-8.1420,1.1044,1.1044
-0.1598,-8.1349,1.0967,1.0967
-0.1527,-8.1349,1.0961,1.0961
-0.1456,-8.1349,1.0955,1.0955
-0.1385,-8.1349,1.0950,1.0950
-0.1314,-8.1349,1.0945,1.0945
-0.1243,-8.1349,1.0941,1.0941
-0.1172,-8.1349,1.0937,1.0937
-0.1101,-8.1278,1.0862,1.0862
-0.1030,-8.1278,1.0859,1.0859
-0.0960,-8.1278,1.0857,1.0857
-0.0889,-8.1278,1.0855,1.0855
-0.0818,-8.1278,1.0853,1.0853
-0.0747,-8.1278,1.0852,1.0852
-0.0676,-8.1207,1.0780,1.0780
-0.0605,-8.1207,1.0780,1.0780
-0.0534,-8.1207,1.0780,1.0780
-0.0463,-8.1207,1.0780,1.0780
-0.0392,-8.1207,1.0780,1.0780
-0.0321,-8.1207,1.0780,1.0780
-0.0250,-8.1136,1.0709,1.0709
-0.0179,-8.1136,1.0709,1.0709
-0.0109,-8.1136,1.0709,1.0709
-0.0038,-8.1136,1.0709,1.0709
0.0033,-8.1136,1.0706,1.0706
0.0104,-8.1065,1.0628,1.0628
0.0175,-8.1065,1.0621,1.0621
0.0246,-8.1065,1.0614,1.0614
