# x_m,y_m,w_tr_right_m,w_tr_left_m
3.4162,-1.1135,0.5879,0.5879
3.4270,-1.1243,0.5847,0.5847
3.4270,-1.1351,0.5907,0.5907
3.4270,-1.1459,0.5860,0.5860
3.4378,-1.1568,0.5902,0.5902
3.4486,-1.1676,0.5926,0.5926
3.4595,-1.1784,0.5910,0.5910
3.4703,-1.1892,0.5899,0.5899
3.4703,-1.2000,0.5899,0.5899
3.4811,-1.2108,0.5910,0.5910
3.4919,-1.2216,0.5926,0.5926
3.5027,-1.2324,0.5946,0.5946
3.5135,-1.2432,0.5965,0.5965
3.5243,-1.2541,0.5963,0.5963
3.5351,-1.2541,0.5910,0.5910
3.5459,-1.2649,0.5926,0.5926
3.5568,-1.2757,0.5946,0.5946
3.5676,-1.2865,0.5969,0.5969
3.5784,-1.2973,0.5997,0.5997
3.5892,-1.2973,0.5937,0.5937
3.6000,-1.3081,0.5970,0.5970
3.6108,-1.3081,0.5914,0.5914
3.6216,-1.3189,0.5954,0.5954
3.6324,-1.3297,0.5997,0.5997
3.6432,-1.3297,0.5947,0.5947
3.6541,-1.3405,0.5996,0.5996
3.6649,-1.3405,0.5950,0.5950
3.6757,-1.3405,0.5906,0.5906
3.6865,-1.3514,0.5963,0.5963
3.6973,-1.3622,0.6023,0.6023
3.7081,-1.3730,0.6087,0.6087
3.7189,-1.3838,0.6154,0.6154
3.7297,-1.3946,0.6223,0.6223
3.7405,-1.4054,0.6270,0.6270
3.7514,-1.4162,0.6162,0.6162
3.7622,-1.4270,0.6054,0.6054
3.7730,-1.4378,0.5937,0.5937
3.7838,-1.4486,0.5812,0.5812
3.7946,-1.4595,0.5688,0.5688
3.8054,-1.4595,0.5672,0.5672
3.8162,-1.4703,0.5552,0.5552
3.8270,-1.4703,0.5540,0.5540
3.8378,-1.4703,0.5530,0.5530
3.8486,-1.4811,0.5415,0.5415
3.8595,-1.4811,0.5410,0.5410
3.8703,-1.4811,0.5406,0.5406
3.8811,-1.4919,0.5297,0.5297
3.8919,-1.4919,0.5297,0.5297
3.9027,-1.4919,0.5297,0.5297
3.9135,-1.4919,0.5297,0.5297
3.9243,-1.4919,0.5297,0.5297
3.9351,-1.4919,0.5297,0.5297
3.9459,-1.5027,0.5189,0.5189
3.9568,-1.5027,0.5190,0.5190
3.9676,-1.5027,0.5194,0.5194
3.9784,-1.5027,0.5199,0.5199
3.9892,-1.5027,0.5207,0.5207
4.0000,-1.5027,0.5217,0.5217
4.0108,-1.5027,0.5230,0.5230
4.0216,-1.5027,0.5244,0.5244
4.0324,-1.5027,0.5261,0.5261
4.0432,-1.5027,0.5280,0.5280
4.0541,-1.5027,0.5297,0.5297
4.0649,-1.5027,0.5297,0.5297
4.0757,-1.5027,0.5297,0.5297
4.0865,-1.5027,0.5297,0.5297
4.0973,-1.5027,0.5297,0.5297
4.1081,-1.5027,0.5297,0.5297
4.1189,-1.5027,0.5297,0.5297
4.1297,-1.5027,0.5297,0.5297
4.1405,-1.5027,0.5297,0.5297
4.1514,-1.5027,0.5280,0.5280
4.1622,-1.5027,0.5261,0.5261
4.1730,-1.5027,0.5244,0.5244
4.1838,-1.5027,0.5230,0.5230
4.1946,-1.5027,0.5217,0.5217
4.2054,-1.5027,0.5207,0.5207
4.2162,-1.5027,0.5199,0.5199
4.2270,-1.5135,0.5207,0.5207
4.2378,-1.5135,0.5217,0.5217
4.2486,-1.5135,0.5230,0.5230
4.2595,-1.5135,0.5244,0.5244
4.2703,-1.5135,0.5261,0.5261
4.2811,-1.5135,0.5280,0.5280
4.2919,-1.5135,0.5297,0.5297
4.3027,-1.5135,0.5297,0.5297
4.3135,-1.5135,0.5297,0.5297
4.3243,-1.5135,0.5297,0.5297
4.3351,-1.5135,0.5297,0.5297
4.3459,-1.5135,0.5297,0.5297
4.3568,-1.5135,0.5297,0.5297
4.3676,-1.5243,0.5337,0.5337
4.3784,-1.5243,0.5351,0.5351
4.3892,-1.5243,0.5367,0.5367
4.4000,-1.5243,0.5386,0.5386
4.4108,-1.5243,0.5405,0.5405
4.4216,-1.5243,0.5405,0.5405
4.4324,-1.5243,0.5405,0.5405
4.4432,-1.5243,0.5405,0.5405
4.4541,-1.5351,0.5297,0.5297
4.4649,-1.5351,0.5297,0.5297
4.4757,-1.5459,0.5189,0.5189
4.4865,-1.5459,0.5189,0.5189
4.4973,-1.5459,0.5189,0.5189
4.5081,-1.5568,0.5081,0.5081
4.5189,-1.5568,0.5081,0.5081
4.5297,-1.5568,0.5081,0.5081
4.5405,-1.5568,0.5081,0.5081
4.5514,-1.5676,0.4973,0.4973
4.5622,-1.5676,0.4973,0.4973
4.5730,-1.5784,0.4865,0.4865
4.5838,-1.5784,0.4866,0.4866
4.5946,-1.5784,0.4870,0.4870
4.6054,-1.5784,0.4876,0.4876
4.6162,-1.5892,0.4776,0.4776
4.6270,-1.5892,0.4787,0.4787
4.6378,-1.5892,0.4801,0.4801
4.6486,-1.5892,0.4817,0.4817
4.6595,-1.6000,0.4728,0.4728
4.6703,-1.6000,0.4749,0.4749
4.6811,-1.6000,0.4768,0.4768
4.6919,-1.6000,0.4776,0.4776
4.7027,-1.6108,0.4680,0.4680
4.7135,-1.6108,0.4694,0.4694
4.7243,-1.6108,0.4710,0.4710
4.7351,-1.6108,0.4728,0.4728
4.7459,-1.6216,0.4644,0.4644
4.7568,-1.6216,0.4660,0.4660
4.7676,-1.6216,0.4669,0.4669
4.7784,-1.6324,0.4573,0.4573
4.7892,-1.6324,0.4587,0.4587
4.8000,-1.6324,0.4603,0.4603
4.8108,-1.6432,0.4516,0.4516
4.8216,-1.6432,0.4538,0.4538
4.8324,-1.6432,0.4562,0.4562
4.8432,-1.6432,0.4587,0.4587
4.8541,-1.6541,0.4497,0.4497
4.8649,-1.6541,0.4516,0.4516
4.8757,-1.6541,0.4538,0.4538
4.8865,-1.6541,0.4562,0.4562
4.8973,-1.6541,0.4587,0.4587
4.9081,-1.6541,0.4582,0.4582
4.9189,-1.6649,0.4516,0.4516
4.9297,-1.6649,0.4538,0.4538
4.9405,-1.6649,0.4562,0.4562
4.9514,-1.6649,0.4562,0.4562
4.9622,-1.6649,0.4538,0.4538
4.9730,-1.6649,0.4516,0.4516
4.9838,-1.6649,0.4497,0.4497
4.9946,-1.6649,0.4480,0.4480
5.0054,-1.6649,0.4465,0.4465
5.0162,-1.6649,0.4453,0.4453
5.0270,-1.6649,0.4444,0.4444
5.0378,-1.6757,0.4546,0.4546
5.0486,-1.6757,0.4542,0.4542
5.0595,-1.6757,0.4541,0.4541
5.0703,-1.6757,0.4541,0.4541
5.0811,-1.6757,0.4541,0.4541
5.0919,-1.6757,0.4541,0.4541
5.1027,-1.6757,0.4541,0.4541
5.1135,-1.6757,0.4542,0.4542
5.1243,-1.6757,0.4546,0.4546
5.1351,-1.6757,0.4552,0.4552
5.1459,-1.6865,0.4660,0.4660
5.1568,-1.6865,0.4669,0.4669
5.1676,-1.6865,0.4680,0.4680
5.1784,-1.6865,0.4669,0.4669
5.1892,-1.6865,0.4660,0.4660
5.2000,-1.6865,0.4654,0.4654
5.2108,-1.6865,0.4650,0.4650
5.2216,-1.6865,0.4649,0.4649
5.2324,-1.6865,0.4649,0.4649
5.2432,-1.6865,0.4649,0.4649
5.2541,-1.6865,0.4649,0.4649
5.2649,-1.6865,0.4649,0.4649
5.2757,-1.6865,0.4649,0.4649
5.2865,-1.6865,0.4649,0.4649
5.2973,-1.6865,0.4650,0.4650
5.3081,-1.6865,0.4654,0.4654
5.3189,-1.6865,0.4660,0.4660
5.3297,-1.6865,0.4669,0.4669
5.3405,-1.6973,0.4787,0.4787
5.3514,-1.6973,0.4801,0.4801
5.3622,-1.6973,0.4817,0.4817
5.3730,-1.6973,0.4835,0.4835
5.3838,-1.6973,0.4855,0.4855
5.3946,-1.6973,0.4878,0.4878
5.4054,-1.6973,0.4903,0.4903
5.4162,-1.7081,0.5035,0.5035
5.4270,-1.7081,0.5064,0.5064
5.4378,-1.7081,0.5095,0.5095
5.4486,-1.7081,0.5128,0.5128
5.4595,-1.7081,0.5163,0.5163
5.4703,-1.7081,0.5200,0.5200
5.4811,-1.7189,0.5302,0.5302
5.4919,-1.7189,0.5334,0.5334
5.5027,-1.7189,0.5367,0.5367
5.5135,-1.7189,0.5403,0.5403
5.5243,-1.7189,0.5441,0.5441
5.5351,-1.7189,0.5458,0.5458
5.5459,-1.7189,0.5474,0.5474
5.5568,-1.7189,0.5492,0.5492
5.5676,-1.7189,0.5512,0.5512
5.5784,-1.7189,0.5523,0.5523
5.5892,-1.7189,0.5530,0.5530
5.6000,-1.7189,0.5540,0.5540
5.6108,-1.7189,0.5552,0.5552
5.6216,-1.7189,0.5565,0.5565
5.6324,-1.7189,0.5581,0.5581
5.6432,-1.7189,0.5599,0.5599
5.6541,-1.7189,0.5619,0.5619
5.6649,-1.7189,0.5622,0.5622
5.6757,-1.7189,0.5622,0.5622
5.6865,-1.7189,0.5622,0.5622
5.6973,-1.7189,0.5619,0.5619
5.7081,-1.7081,0.5705,0.5705
5.7189,-1.7081,0.5688,0.5688
5.7297,-1.6973,0.5779,0.5779
5.7405,-1.6973,0.5766,0.5766
5.7514,-1.6973,0.5755,0.5755
5.7622,-1.6865,0.5852,0.5852
5.7730,-1.6865,0.5831,0.5831
5.7838,-1.6865,0.5812,0.5812
5.7946,-1.6757,0.5902,0.5902
5.8054,-1.6757,0.5887,0.5887
5.8162,-1.6757,0.5874,0.5874
5.8270,-1.6649,0.5970,0.5970
5.8378,-1.6649,0.5962,0.5962
5.8486,-1.6649,0.5955,0.5955
5.8595,-1.6649,0.5950,0.5950
5.8703,-1.6541,0.6055,0.6055
5.8811,-1.6541,0.6054,0.6054
5.8919,-1.6432,0.6162,0.6162
5.9027,-1.6432,0.6150,0.6150
5.9135,-1.6324,0.6239,0.6239
5.9243,-1.6324,0.6215,0.6215
5.9351,-1.6216,0.6297,0.6297
5.9459,-1.6108,0.6382,0.6382
5.9568,-1.6000,0.6469,0.6469
5.9676,-1.5892,0.6559,0.6559
5.9784,-1.5784,0.6651,0.6651
5.9892,-1.5676,0.6745,0.6745
